"Course Code","Course Name","Section","Faculty","Schedule","Room"
"FIN 3123","Managerial Finance","A","Muhammad Enamul Haque","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 207","207"
"FIN 3123","Managerial Finance","B","Nusrat Farzana","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 210","210"
"FIN 3123","Managerial Finance","C","Muhammad Enamul Haque","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 206","206"
"FIN 4117","Corporate Finance","A","Mohammad Musa","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 225","225"
"FIN 4117","Corporate Finance","B","Md. Mohan Uddin","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 223","223"
"FIN 4218","Financial Statements Analysis","A","Muhammad Enamul Haque","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 210","210"
"FIN 4218","Financial Statements Analysis","B","TBA","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 225","225"
"BMT 1103","Business Mathematics I","A","Shakila Aziz","Sunday 08:30-09:50 | Wednesday 08:30-09:50 | 204","204"
"BMT 1103","Business Mathematics I","B","Mimnun Sultana","Saturday 09:51-11:10 | Tuesday 09:51-11:10 | 204","204"
"BMT 1103","Business Mathematics I","C","Gouranga Chandra Debnath","Sunday 12:31-13:50 | Wednesday 12:31-13:50 | 204","204"
"BMT 1103","Business Mathematics I","D","Gouranga Chandra Debnath","Saturday 11:11-12:30 | Tuesday 11:11-12:30 | 204","204"
"BMT 1103","Business Mathematics I","E","Gouranga Chandra Debnath","Sunday 09:51-11:10 | Wednesday 09:51-11:10 | 204","204"
"BMT 1103","Business Mathematics I","F","Shakila Aziz","Saturday 12:31-13:50 | Tuesday 12:31-13:50 | 204","204"
"BMT 1103","Business Mathematics I","G","Shakila Aziz","Sunday 13:51-15:10 | Wednesday 13:51-15:10 | 204","204"
"BMT 1103","Business Mathematics I","H","Gouranga Chandra Debnath","Saturday 08:30-09:50 | Tuesday 08:30-09:50 | 204","204"
